treat,response_wave_ID,exp_1_prompt,meta_OS,age_65,educ,PID,crt,gender,age,polknow,internet_usage,ambivalent_sexism,post_favor_Sanders
audio,SV_0xlqWlOfO10wuYl,info,mobile,<=65,College,Democrat,0.3333333333333333,Male,36,0.7142857142857143,7,2.2,60
ad,SV_0xlqWlOfO10wuYl,control,desktop,<=65,Postgraduate,Independent,0.6666666666666666,Female,57,1,7,3.8,15
skit,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Republican,0.3333333333333333,Female,51,0.5714285714285714,6,3.2,13
control,SV_0xlqWlOfO10wuYl,info,mobile,<=65,College,Republican,0.3333333333333333,Female,35,1,6,1.6,48
ad,SV_0xlqWlOfO10wuYl,info,mobile,<=65,High school,Republican,0,Female,27,0.2857142857142857,6,3.2,50
audio,SV_0xlqWlOfO10wuYl,info,mobile,>65,Postgraduate,Democrat,0.3333333333333333,Female,63,0.7142857142857143,6,2.4,50
control,SV_0xlqWlOfO10wuYl,control,desktop,>65,Postgraduate,Republican,0,Female,66,0.42857142857142855,6,4,3
control,SV_0xlqWlOfO10wuYl,control,desktop,<=65,College,Democrat,0.6666666666666666,Male,28,0.2857142857142857,7,2.2,21
skit,SV_0xlqWlOfO10wuYl,control,desktop,<=65,College,Republican,0.3333333333333333,Female,35,1,6,2.4,0
video,SV_0xlqWlOfO10wuYl,info,desktop,>65,Postgraduate,Democrat,0,Female,77,0.8571428571428571,6,1.8,80
ad,SV_0xlqWlOfO10wuYl,info,mobile,>65,High school,Republican,0.3333333333333333,Female,72,0.5714285714285714,6,4,13
ad,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Democrat,0,Female,49,0.8571428571428571,7,1.8,100
audio,SV_0xlqWlOfO10wuYl,info,desktop,>65,High school,Republican,0.3333333333333333,Female,84,0.42857142857142855,6,4,1
audio,SV_0xlqWlOfO10wuYl,info,desktop,<=65,Postgraduate,Independent,0.6666666666666666,Female,59,1,6,1.6,59
text,SV_0xlqWlOfO10wuYl,info,mobile,<=65,College,Republican,0.3333333333333333,Female,30,0.42857142857142855,2,3.8,62
audio,SV_0xlqWlOfO10wuYl,control,desktop,>65,Postgraduate,Republican,0.3333333333333333,Male,73,0.8571428571428571,6,3,0
skit,SV_0xlqWlOfO10wuYl,control,desktop,>65,College,Republican,0.6666666666666666,Female,62,0.8571428571428571,6,2.4,10
audio,SV_0xlqWlOfO10wuYl,info,desktop,<=65,High school,Independent,0.3333333333333333,Female,46,0.8571428571428571,7,2.8,47
skit,SV_0xlqWlOfO10wuYl,info,desktop,<=65,Postgraduate,Democrat,0,Female,54,0.5714285714285714,6,2.4,76
ad,SV_0xlqWlOfO10wuYl,control,desktop,>65,Postgraduate,Democrat,0,Female,67,0.5714285714285714,6,1.8,51
skit,SV_0xlqWlOfO10wuYl,control,mobile,>65,Postgraduate,Democrat,0.3333333333333333,Male,73,1,6,2.8,45
ad,SV_0xlqWlOfO10wuYl,control,mobile,<=65,College,Democrat,0.3333333333333333,Female,36,0.7142857142857143,7,2.2,58
skit,SV_0xlqWlOfO10wuYl,control,desktop,<=65,Postgraduate,Democrat,0,Male,49,0.5714285714285714,6,3.6,15
ad,SV_0xlqWlOfO10wuYl,control,mobile,<=65,Postgraduate,Democrat,0.3333333333333333,Female,25,0.14285714285714285,7,1,58
ad,SV_0xlqWlOfO10wuYl,control,mobile,<=65,High school,Democrat,0.3333333333333333,Female,24,0.42857142857142855,7,2.2,32
control,SV_0xlqWlOfO10wuYl,control,desktop,>65,College,Republican,0,Male,75,0.8571428571428571,6,4,0
ad,SV_0xlqWlOfO10wuYl,info,mobile,<=65,Postgraduate,Democrat,0,Male,43,0.8571428571428571,7,4.2,66
audio,SV_0xlqWlOfO10wuYl,control,desktop,<=65,High school,Democrat,0,Female,20,0.5714285714285714,7,1.6,68
video,SV_0xlqWlOfO10wuYl,control,mobile,<=65,College,Democrat,0.3333333333333333,Female,23,0.5714285714285714,7,1,78
skit,SV_0xlqWlOfO10wuYl,info,desktop,>65,College,Democrat,0.3333333333333333,Female,64,0.7142857142857143,7,2.6,52
ad,SV_0xlqWlOfO10wuYl,info,mobile,<=65,High school,Republican,0,Male,32,0.7142857142857143,7,4.4,76
text,SV_0xlqWlOfO10wuYl,control,mobile,<=65,College,Democrat,0.3333333333333333,Female,57,1,7,1.8,50
control,SV_0xlqWlOfO10wuYl,info,desktop,>65,High school,Democrat,1,Female,69,1,6,3.4,72
text,SV_0xlqWlOfO10wuYl,info,desktop,>65,College,Democrat,0,Female,64,1,7,2,100
video,SV_0xlqWlOfO10wuYl,control,desktop,>65,College,Democrat,0.3333333333333333,Male,62,0.8571428571428571,6,2.6,0
text,SV_0xlqWlOfO10wuYl,info,mobile,<=65,College,Democrat,0,Female,50,0.42857142857142855,7,1.8,48
video,SV_0xlqWlOfO10wuYl,info,mobile,<=65,College,Democrat,0.3333333333333333,Female,51,0.5714285714285714,6,4,2
video,SV_0xlqWlOfO10wuYl,control,desktop,>65,College,Republican,0,Male,68,1,6,3.4,0
control,SV_0xlqWlOfO10wuYl,control,desktop,<=65,High school,Independent,0.3333333333333333,Female,59,0.42857142857142855,6,3.4,50
video,SV_0xlqWlOfO10wuYl,info,desktop,>65,High school,Republican,0.3333333333333333,Female,63,0.5714285714285714,6,2,20
text,SV_0xlqWlOfO10wuYl,control,mobile,>65,<High school,Republican,0,Female,62,0.5714285714285714,7,5,0
ad,SV_0xlqWlOfO10wuYl,info,desktop,>65,Postgraduate,Republican,0.6666666666666666,Male,74,1,6,3.2,85
skit,SV_0xlqWlOfO10wuYl,info,desktop,<=65,High school,Republican,0.3333333333333333,Female,57,0.7142857142857143,7,2.6,50
ad,SV_0xlqWlOfO10wuYl,info,desktop,<=65,<High school,Republican,0,Female,45,0.2857142857142857,6,2.6,0
text,SV_0xlqWlOfO10wuYl,control,desktop,<=65,Postgraduate,Democrat,0,Male,42,0.8571428571428571,6,1,90
control,SV_0xlqWlOfO10wuYl,control,desktop,<=65,College,Republican,0.3333333333333333,Female,49,1,6,3,58
skit,SV_0xlqWlOfO10wuYl,info,desktop,>65,Postgraduate,Democrat,0.6666666666666666,Male,73,1,7,1.6,100
ad,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Independent,0.3333333333333333,Female,56,0.5714285714285714,6,2.8,46
text,SV_0xlqWlOfO10wuYl,info,desktop,<=65,Postgraduate,Democrat,0.3333333333333333,Female,46,1,6,2.4,50
ad,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Democrat,0.3333333333333333,Male,60,1,7,2.2,100
audio,SV_0xlqWlOfO10wuYl,control,desktop,<=65,College,Democrat,0.3333333333333333,Female,58,0.7142857142857143,6,2.2,63
ad,SV_0xlqWlOfO10wuYl,control,desktop,>65,High school,Independent,0.3333333333333333,Female,64,0.8571428571428571,6,2.2,75
control,SV_0xlqWlOfO10wuYl,info,mobile,<=65,College,Republican,0,Male,45,0.42857142857142855,7,5,0
skit,SV_0xlqWlOfO10wuYl,info,mobile,<=65,College,Democrat,0.3333333333333333,Female,40,1,6,2,92
control,SV_0xlqWlOfO10wuYl,info,desktop,>65,College,Democrat,0.3333333333333333,Female,61,0.8571428571428571,7,2.2,70
video,SV_0xlqWlOfO10wuYl,control,desktop,<=65,Postgraduate,Republican,0.6666666666666666,Male,29,0.42857142857142855,6,2.4,0
control,SV_0xlqWlOfO10wuYl,info,mobile,<=65,College,Republican,0,Female,52,0.7142857142857143,7,3,16
ad,SV_0xlqWlOfO10wuYl,control,desktop,>65,High school,Democrat,0,Male,63,0.42857142857142855,7,2.2,26
skit,SV_0xlqWlOfO10wuYl,info,desktop,>65,College,Republican,0.3333333333333333,Female,76,0.8571428571428571,6,3,12
video,SV_0xlqWlOfO10wuYl,info,mobile,<=65,Postgraduate,Republican,0.6666666666666666,Female,43,0.5714285714285714,7,1.4,50
audio,SV_0xlqWlOfO10wuYl,info,desktop,>65,College,Democrat,0.3333333333333333,Male,62,0.8571428571428571,6,2.6,76
control,SV_0xlqWlOfO10wuYl,control,mobile,<=65,High school,Republican,0.3333333333333333,Female,18,0.5714285714285714,6,4.6,20
skit,SV_0xlqWlOfO10wuYl,info,desktop,<=65,High school,Independent,0,Female,27,1,7,1.8,0
text,SV_0xlqWlOfO10wuYl,control,desktop,<=65,Postgraduate,Republican,0.3333333333333333,Male,35,0.5714285714285714,6,3.6,53
text,SV_0xlqWlOfO10wuYl,control,desktop,>65,Postgraduate,Republican,0,Female,75,0.8571428571428571,7,3.4,0
audio,SV_0xlqWlOfO10wuYl,info,mobile,<=65,College,Republican,0.3333333333333333,Female,43,0.7142857142857143,6,3.2,12
video,SV_0xlqWlOfO10wuYl,info,desktop,<=65,Postgraduate,Democrat,0,Male,54,0.7142857142857143,7,1.6,78
video,SV_0xlqWlOfO10wuYl,control,desktop,>65,High school,Republican,0.3333333333333333,Male,66,1,6,3.4,0
text,SV_0xlqWlOfO10wuYl,info,mobile,<=65,High school,Democrat,0,Female,57,0.5714285714285714,4,3,52
skit,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Independent,0.3333333333333333,Female,60,0.8571428571428571,6,2,87
skit,SV_0xlqWlOfO10wuYl,info,mobile,<=65,High school,Democrat,0,Female,30,0.5714285714285714,7,2.6,52
control,SV_0xlqWlOfO10wuYl,control,desktop,<=65,High school,Republican,0.3333333333333333,Female,56,0.2857142857142857,5,2.8,0
audio,SV_0xlqWlOfO10wuYl,info,mobile,<=65,College,Democrat,0,Female,52,1,7,4,50
text,SV_0xlqWlOfO10wuYl,control,mobile,<=65,High school,Democrat,0.3333333333333333,Female,43,0.8571428571428571,7,1.8,75
text,SV_0xlqWlOfO10wuYl,info,desktop,<=65,Postgraduate,Democrat,0.3333333333333333,Female,55,1,7,1.8,57
audio,SV_0xlqWlOfO10wuYl,control,mobile,<=65,Postgraduate,Independent,0.3333333333333333,Female,39,0.5714285714285714,7,2,70
audio,SV_0xlqWlOfO10wuYl,info,mobile,<=65,High school,Democrat,0,Female,25,0.42857142857142855,7,3.6,42
audio,SV_0xlqWlOfO10wuYl,info,mobile,<=65,College,Independent,0.3333333333333333,Female,50,0.42857142857142855,7,3.8,50
text,SV_0xlqWlOfO10wuYl,control,mobile,<=65,College,Independent,0,Female,43,0.42857142857142855,7,2.6,33
control,SV_0xlqWlOfO10wuYl,info,desktop,>65,College,Democrat,0.3333333333333333,Female,75,1,6,3.2,76
audio,SV_0xlqWlOfO10wuYl,info,desktop,>65,High school,Democrat,0.6666666666666666,Female,67,0.42857142857142855,6,2.2,50
control,SV_0xlqWlOfO10wuYl,info,mobile,<=65,High school,Republican,0.3333333333333333,Female,40,0.14285714285714285,7,4,0
text,SV_0xlqWlOfO10wuYl,info,mobile,>65,High school,Democrat,0,Male,74,0.2857142857142857,4,4.2,68
video,SV_0xlqWlOfO10wuYl,info,desktop,>65,College,Democrat,0.3333333333333333,Male,70,0.8571428571428571,6,1.6,79
text,SV_0xlqWlOfO10wuYl,control,desktop,<=65,High school,Republican,0.3333333333333333,Female,22,0.2857142857142857,7,3.2,51
ad,SV_0xlqWlOfO10wuYl,info,desktop,>65,Postgraduate,Independent,0.6666666666666666,Male,71,0.8571428571428571,5,2.6,5
video,SV_0xlqWlOfO10wuYl,info,mobile,<=65,High school,Republican,0.6666666666666666,Female,26,0.8571428571428571,7,3.6,0
skit,SV_0xlqWlOfO10wuYl,control,mobile,<=65,College,Republican,0,Male,24,0.7142857142857143,6,2.8,18
skit,SV_0xlqWlOfO10wuYl,info,desktop,<=65,Postgraduate,Democrat,0.6666666666666666,Female,34,1,6,1,62
ad,SV_0xlqWlOfO10wuYl,info,mobile,<=65,College,Republican,0.3333333333333333,Female,45,0.8571428571428571,7,3.2,24
text,SV_0xlqWlOfO10wuYl,info,mobile,<=65,High school,Democrat,0.3333333333333333,Female,59,0.7142857142857143,6,2.6,51
skit,SV_0xlqWlOfO10wuYl,info,mobile,<=65,High school,Republican,0.3333333333333333,Female,49,0.5714285714285714,6,2.2,37
text,SV_0xlqWlOfO10wuYl,control,desktop,<=65,College,Independent,0.3333333333333333,Female,47,0.2857142857142857,7,3,50
ad,SV_0xlqWlOfO10wuYl,info,desktop,>65,Postgraduate,Democrat,0.6666666666666666,Female,65,0.8571428571428571,6,1.4,55
video,SV_0xlqWlOfO10wuYl,info,mobile,<=65,College,Independent,0,Male,33,0.8571428571428571,7,4,4
skit,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Republican,0.3333333333333333,Female,57,0.8571428571428571,7,2.6,20
text,SV_0xlqWlOfO10wuYl,control,mobile,<=65,High school,Democrat,0.3333333333333333,Female,27,0.42857142857142855,7,2.8,75
skit,SV_0xlqWlOfO10wuYl,control,desktop,>65,College,Democrat,0.3333333333333333,Female,67,1,7,2,94
control,SV_0xlqWlOfO10wuYl,info,desktop,>65,College,Democrat,0,Female,69,0.8571428571428571,5,2.8,85
audio,SV_0xlqWlOfO10wuYl,control,desktop,>65,Postgraduate,Independent,0.3333333333333333,Male,67,1,6,2.6,97
skit,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Independent,0.3333333333333333,Female,59,0.8571428571428571,7,4.6,22
control,SV_0xlqWlOfO10wuYl,info,mobile,>65,High school,Republican,0.3333333333333333,Female,64,1,7,2.8,0
skit,SV_0xlqWlOfO10wuYl,control,desktop,<=65,High school,Democrat,0.3333333333333333,Female,32,0.7142857142857143,6,2.2,88
video,SV_0xlqWlOfO10wuYl,control,desktop,<=65,Postgraduate,Democrat,0.6666666666666666,Female,41,1,6,1.8,82
audio,SV_0xlqWlOfO10wuYl,control,desktop,<=65,High school,Democrat,0,Female,49,0.7142857142857143,7,3,33
text,SV_0xlqWlOfO10wuYl,control,desktop,>65,High school,Republican,0.3333333333333333,Female,70,1,6,3,1
control,SV_0xlqWlOfO10wuYl,control,desktop,<=65,Postgraduate,Democrat,0.3333333333333333,Female,41,1,6,2.6,34
ad,SV_0xlqWlOfO10wuYl,info,desktop,>65,High school,Republican,0,Male,66,0.42857142857142855,6,4,40
video,SV_0xlqWlOfO10wuYl,info,desktop,<=65,High school,Democrat,0,Male,43,1,5,3.4,100
control,SV_0xlqWlOfO10wuYl,control,mobile,<=65,Postgraduate,Democrat,0.3333333333333333,Male,25,0.42857142857142855,7,3.4,24
ad,SV_0xlqWlOfO10wuYl,info,mobile,<=65,Postgraduate,Democrat,0.6666666666666666,Female,26,0.14285714285714285,7,1,50
audio,SV_0xlqWlOfO10wuYl,control,desktop,<=65,High school,Democrat,0.3333333333333333,Female,29,0.2857142857142857,7,3,54
video,SV_0xlqWlOfO10wuYl,info,mobile,<=65,<High school,Independent,0,Female,46,0.2857142857142857,7,3,51
video,SV_0xlqWlOfO10wuYl,control,desktop,<=65,Postgraduate,Democrat,0,Male,32,0.7142857142857143,7,4.6,56
skit,SV_0xlqWlOfO10wuYl,control,mobile,<=65,High school,Republican,0,Female,26,0.14285714285714285,7,2.4,0
skit,SV_0xlqWlOfO10wuYl,control,desktop,<=65,College,Republican,0.6666666666666666,Male,49,1,6,3.8,57
audio,SV_0xlqWlOfO10wuYl,control,mobile,<=65,High school,Republican,0.3333333333333333,Female,48,0.8571428571428571,7,1.8,2
control,SV_0xlqWlOfO10wuYl,control,desktop,<=65,College,Republican,0,Female,60,1,6,3.8,20
text,SV_0xlqWlOfO10wuYl,control,mobile,<=65,High school,Democrat,0.6666666666666666,Female,42,0.5714285714285714,6,3,29
text,SV_0xlqWlOfO10wuYl,info,desktop,<=65,Postgraduate,Republican,0.6666666666666666,Male,50,0.8571428571428571,7,3,3
ad,SV_0xlqWlOfO10wuYl,control,mobile,<=65,High school,Democrat,0.3333333333333333,Female,21,0.7142857142857143,7,2.2,60
video,SV_0xlqWlOfO10wuYl,info,mobile,>65,College,Democrat,0.3333333333333333,Female,70,0.5714285714285714,7,1.8,50
skit,SV_0xlqWlOfO10wuYl,info,mobile,<=65,Postgraduate,Independent,0.3333333333333333,Female,2000,0.42857142857142855,7,2.8,50
text,SV_0xlqWlOfO10wuYl,info,desktop,>65,High school,Democrat,0.6666666666666666,Male,66,0.7142857142857143,6,4,31
audio,SV_0xlqWlOfO10wuYl,control,desktop,<=65,High school,Republican,0,Female,34,0.8571428571428571,7,2.6,35
ad,SV_0xlqWlOfO10wuYl,control,desktop,>65,High school,Republican,0,Female,64,1,6,2.8,50
control,SV_0xlqWlOfO10wuYl,info,mobile,<=65,High school,Democrat,0.3333333333333333,Female,40,0.7142857142857143,6,3.2,64
audio,SV_0xlqWlOfO10wuYl,control,desktop,>65,College,Republican,0.3333333333333333,Female,79,0.7142857142857143,6,2.6,0
skit,SV_0xlqWlOfO10wuYl,info,desktop,>65,College,Democrat,0.3333333333333333,Male,75,1,6,3.6,88
text,SV_0xlqWlOfO10wuYl,info,mobile,<=65,<High school,Democrat,0.3333333333333333,Female,25,0.5714285714285714,7,1.6,54
video,SV_0xlqWlOfO10wuYl,info,mobile,<=65,College,Democrat,0.3333333333333333,Female,28,1,7,2.4,27
control,SV_0xlqWlOfO10wuYl,control,mobile,<=65,Postgraduate,Democrat,0.6666666666666666,Female,41,1,6,1.4,97
video,SV_0xlqWlOfO10wuYl,info,mobile,<=65,College,Republican,0.3333333333333333,Female,29,0.14285714285714285,7,2.2,39
ad,SV_0xlqWlOfO10wuYl,control,mobile,<=65,<High school,Democrat,0,Male,39,0.2857142857142857,7,3.8,100
video,SV_0xlqWlOfO10wuYl,control,mobile,<=65,High school,Republican,0.3333333333333333,Female,26,0.5714285714285714,7,1.4,50
control,SV_0xlqWlOfO10wuYl,info,desktop,<=65,Postgraduate,Republican,0.3333333333333333,Male,35,0.5714285714285714,6,3.4,50
skit,SV_0xlqWlOfO10wuYl,info,mobile,>65,High school,Democrat,0,Male,65,0.8571428571428571,6,2.2,77
skit,SV_0xlqWlOfO10wuYl,control,mobile,>65,College,Democrat,0.3333333333333333,Female,61,0.14285714285714285,6,2.4,0
video,SV_0xlqWlOfO10wuYl,control,mobile,<=65,College,Democrat,0.3333333333333333,Female,33,0.42857142857142855,7,2,43
skit,SV_0xlqWlOfO10wuYl,info,mobile,>65,College,Republican,0,Female,65,0.8571428571428571,6,4,3
text,SV_0xlqWlOfO10wuYl,control,mobile,<=65,College,Democrat,0,Female,33,0.5714285714285714,7,3.2,15
audio,SV_0xlqWlOfO10wuYl,control,desktop,>65,High school,Democrat,0.3333333333333333,Male,76,0.8571428571428571,7,2.8,42
control,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Republican,0,Male,49,1,6,1.6,10
ad,SV_0xlqWlOfO10wuYl,info,desktop,>65,College,Democrat,0.6666666666666666,Male,75,1,6,1.4,92
text,SV_0xlqWlOfO10wuYl,info,desktop,>65,College,Democrat,0.3333333333333333,Male,78,1,5,3,57
control,SV_0xlqWlOfO10wuYl,control,desktop,>65,College,Democrat,0.6666666666666666,Male,70,1,7,1,65
video,SV_0xlqWlOfO10wuYl,control,mobile,>65,High school,Republican,0.3333333333333333,Male,63,0.8571428571428571,6,3.6,9
skit,SV_0xlqWlOfO10wuYl,info,desktop,<=65,Postgraduate,Independent,0.3333333333333333,Male,57,0.7142857142857143,6,3.2,35
text,SV_0xlqWlOfO10wuYl,info,mobile,<=65,College,Democrat,1,Female,43,1,7,2.8,12
skit,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Independent,0.3333333333333333,Female,30,0.7142857142857143,7,2.6,43
video,SV_0xlqWlOfO10wuYl,control,mobile,<=65,College,Democrat,0.6666666666666666,Female,41,1,7,2.4,56
audio,SV_0xlqWlOfO10wuYl,control,desktop,<=65,College,Democrat,0.6666666666666666,Female,39,0.42857142857142855,7,1.4,0
ad,SV_0xlqWlOfO10wuYl,control,mobile,<=65,High school,Independent,0.6666666666666666,Male,30,0.7142857142857143,7,1,0
video,SV_0xlqWlOfO10wuYl,control,desktop,<=65,Postgraduate,Democrat,0,Female,54,0.8571428571428571,7,2,80
video,SV_0xlqWlOfO10wuYl,control,desktop,>65,High school,Democrat,0.6666666666666666,Male,62,0.5714285714285714,6,1,50
ad,SV_0xlqWlOfO10wuYl,control,desktop,>65,College,Democrat,0.6666666666666666,Female,72,1,6,2.8,96
skit,SV_0xlqWlOfO10wuYl,info,desktop,<=65,High school,Democrat,0.3333333333333333,Female,56,0.5714285714285714,6,3.2,40
control,SV_0xlqWlOfO10wuYl,info,mobile,<=65,College,Republican,0.3333333333333333,Female,29,0.14285714285714285,4,2.8,7
audio,SV_0xlqWlOfO10wuYl,info,mobile,<=65,High school,Democrat,0.3333333333333333,Male,30,0.2857142857142857,7,2.2,0
ad,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Republican,0.3333333333333333,Female,49,0.8571428571428571,6,4,0
skit,SV_0xlqWlOfO10wuYl,info,mobile,<=65,College,Democrat,0.3333333333333333,Male,24,0.42857142857142855,7,2.8,96
video,SV_0xlqWlOfO10wuYl,control,desktop,>65,College,Democrat,0,Female,71,1,6,2.2,90
skit,SV_0xlqWlOfO10wuYl,control,desktop,>65,High school,Republican,0.3333333333333333,Male,70,0.42857142857142855,6,3.4,0
audio,SV_0xlqWlOfO10wuYl,info,mobile,<=65,High school,Democrat,0,Female,21,0.5714285714285714,7,2,38
ad,SV_0xlqWlOfO10wuYl,control,mobile,<=65,High school,Democrat,0,Female,42,0.42857142857142855,7,2.6,55
control,SV_0xlqWlOfO10wuYl,control,mobile,<=65,High school,Independent,0.3333333333333333,Female,44,0.8571428571428571,6,1.6,0
audio,SV_0xlqWlOfO10wuYl,info,mobile,<=65,College,Democrat,0.3333333333333333,Female,39,0.42857142857142855,6,2.6,28
ad,SV_0xlqWlOfO10wuYl,control,mobile,<=65,College,Republican,0.3333333333333333,Male,45,0.42857142857142855,6,1.8,4
video,SV_0xlqWlOfO10wuYl,info,mobile,<=65,High school,Republican,0.3333333333333333,Female,27,0.42857142857142855,6,1.8,50
text,SV_0xlqWlOfO10wuYl,control,mobile,<=65,High school,Republican,0.3333333333333333,Female,25,0.42857142857142855,6,2.6,32
video,SV_0xlqWlOfO10wuYl,info,desktop,>65,Postgraduate,Republican,0,Female,67,1,6,5,0
control,SV_0xlqWlOfO10wuYl,control,desktop,<=65,College,Democrat,0.6666666666666666,Male,58,1,6,1.6,75
ad,SV_0xlqWlOfO10wuYl,info,desktop,<=65,Postgraduate,Republican,0.3333333333333333,Male,37,1,7,4.6,50
ad,SV_0xlqWlOfO10wuYl,info,desktop,>65,College,Republican,0.3333333333333333,Female,62,0.8571428571428571,4,2.8,7
control,SV_0xlqWlOfO10wuYl,info,mobile,<=65,College,Republican,0.3333333333333333,Male,25,0.2857142857142857,7,4,50
ad,SV_0xlqWlOfO10wuYl,control,desktop,>65,College,Democrat,0.3333333333333333,Female,63,1,6,1.8,80
control,SV_0xlqWlOfO10wuYl,control,mobile,<=65,College,Democrat,0.3333333333333333,Female,49,0.7142857142857143,7,1.8,47
ad,SV_0xlqWlOfO10wuYl,control,desktop,>65,Postgraduate,Democrat,0.3333333333333333,Female,64,0.8571428571428571,6,1.8,82
skit,SV_0xlqWlOfO10wuYl,info,mobile,<=65,Postgraduate,Independent,0.3333333333333333,Male,42,0.7142857142857143,6,2.2,50
control,SV_0xlqWlOfO10wuYl,info,mobile,<=65,College,Democrat,0,Female,40,0.42857142857142855,6,2.6,56
video,SV_0xlqWlOfO10wuYl,control,mobile,<=65,College,Republican,0.3333333333333333,Female,38,0.7142857142857143,7,2.8,46
audio,SV_0xlqWlOfO10wuYl,info,mobile,<=65,High school,Republican,0.3333333333333333,Female,51,0.2857142857142857,7,3.2,50
audio,SV_0xlqWlOfO10wuYl,info,mobile,<=65,High school,Democrat,0.3333333333333333,Female,19,1,7,2,50
video,SV_0xlqWlOfO10wuYl,info,mobile,<=65,College,Democrat,0.6666666666666666,Male,54,1,7,3.2,83
text,SV_0xlqWlOfO10wuYl,info,desktop,>65,College,Democrat,1,Female,62,1,7,2.4,86
text,SV_0xlqWlOfO10wuYl,control,desktop,>65,High school,Democrat,0.3333333333333333,Female,73,0.8571428571428571,6,1.4,100
audio,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Democrat,0.6666666666666666,Male,22,0.7142857142857143,6,2.8,59
video,SV_0xlqWlOfO10wuYl,control,mobile,<=65,College,Democrat,0.3333333333333333,Female,36,0.8571428571428571,7,2.6,74
ad,SV_0xlqWlOfO10wuYl,control,desktop,>65,College,Republican,0.3333333333333333,Female,66,0.7142857142857143,6,3.4,0
text,SV_0xlqWlOfO10wuYl,info,desktop,<=65,Postgraduate,Democrat,0.3333333333333333,Female,27,0.8571428571428571,7,2.4,47
control,SV_0xlqWlOfO10wuYl,control,mobile,<=65,High school,Democrat,0,Female,29,0,6,3.4,73
video,SV_0xlqWlOfO10wuYl,control,mobile,<=65,High school,Democrat,0.3333333333333333,Male,25,0.8571428571428571,7,1.4,50
text,SV_0xlqWlOfO10wuYl,control,mobile,<=65,College,Republican,0.6666666666666666,Female,24,0.5714285714285714,7,1.8,50
text,SV_0xlqWlOfO10wuYl,control,mobile,<=65,High school,Independent,0.6666666666666666,Female,18,0.2857142857142857,6,2.8,50
audio,SV_0xlqWlOfO10wuYl,info,mobile,<=65,College,Republican,0.3333333333333333,Female,36,0.8571428571428571,6,2.4,26
audio,SV_0xlqWlOfO10wuYl,control,mobile,<=65,College,Democrat,0.6666666666666666,Male,33,1,6,1.8,57
text,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Democrat,1,Female,38,0.8571428571428571,7,2.2,90
skit,SV_0xlqWlOfO10wuYl,control,mobile,<=65,College,Republican,0,Female,52,0.42857142857142855,6,3,0
video,SV_0xlqWlOfO10wuYl,info,mobile,<=65,College,Republican,0.3333333333333333,Female,48,0.5714285714285714,7,3.4,14
text,SV_0xlqWlOfO10wuYl,control,mobile,<=65,College,Democrat,0.6666666666666666,Male,42,0.8571428571428571,6,4,78
skit,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Democrat,0.3333333333333333,Male,50,0.5714285714285714,7,3.6,56
skit,SV_0xlqWlOfO10wuYl,info,desktop,<=65,Postgraduate,Republican,0.3333333333333333,Male,38,0.7142857142857143,6,3.4,37
control,SV_0xlqWlOfO10wuYl,control,desktop,<=65,High school,Republican,0.3333333333333333,Female,45,0.7142857142857143,6,3.6,0
ad,SV_0xlqWlOfO10wuYl,info,mobile,<=65,High school,Republican,0,Female,22,0.2857142857142857,7,3.2,50
skit,SV_0xlqWlOfO10wuYl,info,mobile,<=65,High school,Independent,0.3333333333333333,Female,29,0.14285714285714285,6,3.2,50
ad,SV_0xlqWlOfO10wuYl,info,desktop,<=65,High school,Independent,0.3333333333333333,Female,57,0.7142857142857143,7,4,65
ad,SV_0xlqWlOfO10wuYl,control,desktop,<=65,College,Independent,0.3333333333333333,Female,60,0.5714285714285714,7,2.8,50
ad,SV_0xlqWlOfO10wuYl,info,mobile,<=65,High school,Independent,0.3333333333333333,Female,24,0.2857142857142857,6,3,0
skit,SV_0xlqWlOfO10wuYl,info,desktop,<=65,Postgraduate,Democrat,0.3333333333333333,Male,45,0.8571428571428571,6,5,50
control,SV_0xlqWlOfO10wuYl,control,mobile,<=65,College,Democrat,0.3333333333333333,Female,25,0.2857142857142857,7,4,47
audio,SV_0xlqWlOfO10wuYl,info,desktop,<=65,High school,Democrat,0,Male,20,0.8571428571428571,7,2.6,50
skit,SV_0xlqWlOfO10wuYl,info,desktop,<=65,High school,Independent,0,Female,28,0.42857142857142855,7,4,50
video,SV_0xlqWlOfO10wuYl,control,mobile,<=65,College,Democrat,0.3333333333333333,Female,34,0.42857142857142855,7,2.4,50
audio,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Democrat,0.3333333333333333,Female,48,0.42857142857142855,7,3.8,50
